id,ma,thu_tu,tiet_khi,kinh_do_mat_troi,nguyet_lenh,bat_dau_can_chi_thang,ghi_chu
1,JQ001,1,Lập Xuân,315,Dần,Có,Bắt đầu tháng Dần
2,JQ002,2,Vũ Thủy,330,Dần,Không,
3,JQ003,3,Kinh Trập,345,Mão,Có,Bắt đầu tháng Mão
4,JQ004,4,Xuân Phân,0,Mão,Không,
5,JQ005,5,Thanh Minh,15,Thìn,Có,Bắt đầu tháng Thìn
6,JQ006,6,Cốc Vũ,30,Thìn,Không,
7,JQ007,7,Lập Hạ,45,Tỵ,Có,Bắt đầu tháng Tỵ
8,JQ008,8,Tiểu Mãn,60,Tỵ,Không,
9,JQ009,9,Mang Chủng,75,Ngọ,Có,Bắt đầu tháng Ngọ
10,JQ010,10,Hạ Chí,90,Ngọ,Không,
11,JQ011,11,Tiểu Thử,105,Mùi,Có,Bắt đầu tháng Mùi
12,JQ012,12,Đại Thử,120,Mùi,Không,
13,JQ013,13,Lập Thu,135,Thân,Có,Bắt đầu tháng Thân
14,JQ014,14,Xử Thử,150,Thân,Không,
15,JQ015,15,Bạch Lộ,165,Dậu,Có,Bắt đầu tháng Dậu
16,JQ016,16,Thu Phân,180,Dậu,Không,
17,JQ017,17,Hàn Lộ,195,Tuất,Có,Bắt đầu tháng Tuất
18,JQ018,18,Sương Giáng,210,Tuất,Không,
19,JQ019,19,Lập Đông,225,Hợi,Có,Bắt đầu tháng Hợi
20,JQ020,20,Tiểu Tuyết,240,Hợi,Không,
21,JQ021,21,Đại Tuyết,255,Tý,Có,Bắt đầu tháng Tý
22,JQ022,22,Đông Chí,270,Tý,Không,
23,JQ023,23,Tiểu Hàn,285,Sửu,Có,Bắt đầu tháng Sửu
24,JQ024,24,Đại Hàn,300,Sửu,Không,
