id,ma,nhom_can_ngay,chi_gio,can_gio
1,HG001,Giáp-Kỷ,Tý,Giáp
2,HG002,Giáp-Kỷ,Sửu,Ất
3,HG003,Giáp-Kỷ,Dần,Bính
4,HG004,Giáp-Kỷ,Mão,Đinh
5,HG005,Giáp-Kỷ,Thìn,Mậu
6,HG006,Giáp-Kỷ,Tỵ,Kỷ
7,HG007,Giáp-Kỷ,Ngọ,Canh
8,HG008,Giáp-Kỷ,Mùi,Tân
9,HG009,Giáp-Kỷ,Thân,Nhâm
10,HG010,Giáp-Kỷ,Dậu,Quý
11,HG011,Giáp-Kỷ,Tuất,Giáp
12,HG012,Giáp-Kỷ,Hợi,Ất

13,HG013,Ất-Canh,Tý,Bính
14,HG014,Ất-Canh,Sửu,Đinh
15,HG015,Ất-Canh,Dần,Mậu
16,HG016,Ất-Canh,Mão,Kỷ
17,HG017,Ất-Canh,Thìn,Canh
18,HG018,Ất-Canh,Tỵ,Tân
19,HG019,Ất-Canh,Ngọ,Nhâm
20,HG020,Ất-Canh,Mùi,Quý
21,HG021,Ất-Canh,Thân,Giáp
22,HG022,Ất-Canh,Dậu,Ất
23,HG023,Ất-Canh,Tuất,Bính
24,HG024,Ất-Canh,Hợi,Đinh

25,HG025,Bính-Tân,Tý,Mậu
26,HG026,Bính-Tân,Sửu,Kỷ
27,HG027,Bính-Tân,Dần,Canh
28,HG028,Bính-Tân,Mão,Tân
29,HG029,Bính-Tân,Thìn,Nhâm
30,HG030,Bính-Tân,Tỵ,Quý
31,HG031,Bính-Tân,Ngọ,Giáp
32,HG032,Bính-Tân,Mùi,Ất
33,HG033,Bính-Tân,Thân,Bính
34,HG034,Bính-Tân,Dậu,Đinh
35,HG035,Bính-Tân,Tuất,Mậu
36,HG036,Bính-Tân,Hợi,Kỷ

37,HG037,Đinh-Nhâm,Tý,Canh
38,HG038,Đinh-Nhâm,Sửu,Tân
39,HG039,Đinh-Nhâm,Dần,Nhâm
40,HG040,Đinh-Nhâm,Mão,Quý
41,HG041,Đinh-Nhâm,Thìn,Giáp
42,HG042,Đinh-Nhâm,Tỵ,Ất
43,HG043,Đinh-Nhâm,Ngọ,Bính
44,HG044,Đinh-Nhâm,Mùi,Đinh
45,HG045,Đinh-Nhâm,Thân,Mậu
46,HG046,Đinh-Nhâm,Dậu,Kỷ
47,HG047,Đinh-Nhâm,Tuất,Canh
48,HG048,Đinh-Nhâm,Hợi,Tân

49,HG049,Mậu-Quý,Tý,Nhâm
50,HG050,Mậu-Quý,Sửu,Quý
51,HG051,Mậu-Quý,Dần,Giáp
52,HG052,Mậu-Quý,Mão,Ất
53,HG053,Mậu-Quý,Thìn,Bính
54,HG054,Mậu-Quý,Tỵ,Đinh
55,HG055,Mậu-Quý,Ngọ,Mậu
56,HG056,Mậu-Quý,Mùi,Kỷ
57,HG057,Mậu-Quý,Thân,Canh
58,HG058,Mậu-Quý,Dậu,Tân
59,HG059,Mậu-Quý,Tuất,Nhâm
60,HG060,Mậu-Quý,Hợi,Quý
