id,ma,nguyet_lenh,chi_ngay,thu_tu,sao,loai,ngu_hanh_cat_hung,ghi_chu
1,HD001,Dần,Tý,1,Thanh Long,Hoàng Đạo,Cát,
2,HD002,Dần,Sửu,2,Minh Đường,Hoàng Đạo,Cát,
3,HD003,Dần,Dần,3,Thiên Hình,Hắc Đạo,Hung,
4,HD004,Dần,Mão,4,Chu Tước,Hắc Đạo,Hung,
5,HD005,Dần,Thìn,5,Kim Quỹ,Hoàng Đạo,Cát,
6,HD006,Dần,Tỵ,6,Kim Đường,Hoàng Đạo,Cát,
7,HD007,Dần,Ngọ,7,Bạch Hổ,Hắc Đạo,Hung,
8,HD008,Dần,Mùi,8,Ngọc Đường,Hoàng Đạo,Cát,
9,HD009,Dần,Thân,9,Thiên Lao,Hắc Đạo,Hung,
10,HD010,Dần,Dậu,10,Huyền Vũ,Hắc Đạo,Hung,
11,HD011,Dần,Tuất,11,Tư Mệnh,Hoàng Đạo,Cát,
12,HD012,Dần,Hợi,12,Câu Trần,Hắc Đạo,Hung,

13,HD013,Mão,Sửu,1,Thanh Long,Hoàng Đạo,Cát,
14,HD014,Mão,Dần,2,Minh Đường,Hoàng Đạo,Cát,
15,HD015,Mão,Mão,3,Thiên Hình,Hắc Đạo,Hung,
16,HD016,Mão,Thìn,4,Chu Tước,Hắc Đạo,Hung,
17,HD017,Mão,Tỵ,5,Kim Quỹ,Hoàng Đạo,Cát,
18,HD018,Mão,Ngọ,6,Kim Đường,Hoàng Đạo,Cát,
19,HD019,Mão,Mùi,7,Bạch Hổ,Hắc Đạo,Hung,
20,HD020,Mão,Thân,8,Ngọc Đường,Hoàng Đạo,Cát,
21,HD021,Mão,Dậu,9,Thiên Lao,Hắc Đạo,Hung,
22,HD022,Mão,Tuất,10,Huyền Vũ,Hắc Đạo,Hung,
23,HD023,Mão,Hợi,11,Tư Mệnh,Hoàng Đạo,Cát,
24,HD024,Mão,Tý,12,Câu Trần,Hắc Đạo,Hung,

