tam_nguyen,thu_tu,thien_can,dia_chi,hoa_giap,nap_am,nam_mau
Thượng Nguyên,0,Giáp,Tý,Giáp Tý,Hải Trung Kim,1864
Thượng Nguyên,1,Ất,Sửu,Ất Sửu,Hải Trung Kim,1865
Thượng Nguyên,2,Bính,Dần,Bính Dần,Lư Trung Hỏa,1866
Thượng Nguyên,3,Đinh,Mão,Đinh Mão,Lư Trung Hỏa,1867
Thượng Nguyên,4,Mậu,Thìn,Mậu Thìn,Đại Lâm Mộc,1868
Thượng Nguyên,5,Kỷ,Tỵ,Kỷ Tỵ,Đại Lâm Mộc,1869
Thượng Nguyên,6,Canh,Ngọ,Canh Ngọ,Lộ Bàng Thổ,1870
Thượng Nguyên,7,Tân,Mùi,Tân Mùi,Lộ Bàng Thổ,1871
Thượng Nguyên,8,Nhâm,Thân,Nhâm Thân,Kiếm Phong Kim,1872
Thượng Nguyên,9,Quý,Dậu,Quý Dậu,Kiếm Phong Kim,1873
Thượng Nguyên,10,Giáp,Tuất,Giáp Tuất,Sơn Đầu Hỏa,1874
Thượng Nguyên,11,Ất,Hợi,Ất Hợi,Sơn Đầu Hỏa,1875
Thượng Nguyên,12,Bính,Tý,Bính Tý,Giản Hạ Thủy,1876
Thượng Nguyên,13,Đinh,Sửu,Đinh Sửu,Giản Hạ Thủy,1877
Thượng Nguyên,14,Mậu,Dần,Mậu Dần,Thành Đầu Thổ,1878
Thượng Nguyên,15,Kỷ,Mão,Kỷ Mão,Thành Đầu Thổ,1879
Thượng Nguyên,16,Canh,Thìn,Canh Thìn,Bạch Lạp Kim,1880
Thượng Nguyên,17,Tân,Tỵ,Tân Tỵ,Bạch Lạp Kim,1881
Thượng Nguyên,18,Nhâm,Ngọ,Nhâm Ngọ,Dương Liễu Mộc,1882
Thượng Nguyên,19,Quý,Mùi,Quý Mùi,Dương Liễu Mộc,1883
Thượng Nguyên,20,Giáp,Thân,Giáp Thân,Tuyền Trung Thủy,1884
Thượng Nguyên,21,Ất,Dậu,Ất Dậu,Tuyền Trung Thủy,1885
Thượng Nguyên,22,Bính,Tuất,Bính Tuất,Ốc Thượng Thổ,1886
Thượng Nguyên,23,Đinh,Hợi,Đinh Hợi,Ốc Thượng Thổ,1887
Thượng Nguyên,24,Mậu,Tý,Mậu Tý,Tích Lịch Hỏa,1888
Thượng Nguyên,25,Kỷ,Sửu,Kỷ Sửu,Tích Lịch Hỏa,1889
Thượng Nguyên,26,Canh,Dần,Canh Dần,Tùng Bách Mộc,1890
Thượng Nguyên,27,Tân,Mão,Tân Mão,Tùng Bách Mộc,1891
Thượng Nguyên,28,Nhâm,Thìn,Nhâm Thìn,Trường Lưu Thủy,1892
Thượng Nguyên,29,Quý,Tỵ,Quý Tỵ,Trường Lưu Thủy,1893
Thượng Nguyên,30,Giáp,Ngọ,Giáp Ngọ,Sa Trung Kim,1894
Thượng Nguyên,31,Ất,Mùi,Ất Mùi,S a Trung Kim,1895
Thượng Nguyên,32,Bính,Thân,Bính Thân,Sơn Hạ Hỏa,1896
Thượng Nguyên,33,Đinh,Dậu,Đinh Dậu,Sơn Hạ Hỏa,1897
Thượng Nguyên,34,Mậu,Tuất,Mậu Tuất,Bình Địa Mộc,1898
Thượng Nguyên,35,Kỷ,Hợi,Kỷ Hợi,Bình Địa Mộc,1899
Thượng Nguyên,36,Canh,Tý,Canh Tý,Bích Thượng Thổ,1900
Thượng Nguyên,37,Tân,Sửu,Tân Sửu,Bích Thượng Thổ,1901
Thượng Nguyên,38,Nhâm,Dần,Nhâm Dần,Kim Bạch Kim,1902
Thượng Nguyên,39,Quý,Mão,Quý Mão,Kim Bạch Kim,1903
Thượng Nguyên,40,Giáp,Thìn,Giáp Thìn,Phú Đăng Hỏa,1904
Thượng Nguyên,41,Ất,Tỵ,Ất Tỵ,Phú Đăng Hỏa,1905
Thượng Nguyên,42,Bính,Ngọ,Bính Ngọ,Thiên Hà Thủy,1906
Thượng Nguyên,43,Đinh,Mùi,Đinh Mùi,Thiên Hà Thủy,1907
Thượng Nguyên,44,Mậu,Thân,Mậu Thân,Đại Dịch Thổ,1908
Thượng Nguyên,45,Kỷ,Dậu,Kỷ Dậu,Đại Dịch Thổ,1909
Thượng Nguyên,46,Canh,Tuất,Canh Tuất,Thoa Xuyến Kim,1910
Thượng Nguyên,47,Tân,Hợi,Tân Hợi,Thoa Xuyến Kim,1911
Thượng Nguyên,48,Nhâm,Tý,Nhâm Tý,Tang Đố Mộc,1912
Thượng Nguyên,49,Quý,Sửu,Quý Sửu,Tang Đố Mộc,1913
Thượng Nguyên,50,Giáp,Dần,Giáp Dần,Đại Khê Thủy,1914
Thượng Nguyên,51,Ất,Mão,Ất Mão,Đại Khê Thủy,1915
Thượng Nguyên,52,Bính,Thìn,Bính Thìn,Sa Trung Thổ,1916
Thượng Nguyên,53,Đinh,Tỵ,Đinh Tỵ,Sa Trung Thổ,1917
Thượng Nguyên,54,Mậu,Ngọ,Mậu Ngọ,Thiên Thượng Hỏa,1918
Thượng Nguyên,55,Kỷ,Mùi,Kỷ Mùi,Thiên Thượng Hỏa,1919
Thượng Nguyên,56,Canh,Thân,Canh Thân,Thạch Lựu Mộc,1920
Thượng Nguyên,57,Tân,Dậu,Tân Dậu,Thạch Lựu Mộc,1921
Thượng Nguyên,58,Nhâm,Tuất,Nhâm Tuất,Đại Hải Thủy,1922
Thượng Nguyên,59,Quý,Hợi,Quý Hợi,Đại Hải Thủy,1923
Trung Nguyên,0,Giáp,Tý,Giáp Tý,Hải Trung Kim,1924
Trung Nguyên,1,Ất,Sửu,Ất Sửu,Hải Trung Kim,1925
Trung Nguyên,2,Bính,Dần,Bính Dần,Lư Trung Hỏa,1926
Trung Nguyên,3,Đinh,Mão,Đinh Mão,Lư Trung Hỏa,1927
Trung Nguyên,4,Mậu,Thìn,Mậu Thìn,Đại Lâm Mộc,1928
Trung Nguyên,5,Kỷ,Tỵ,Kỷ Tỵ,Đại Lâm Mộc,1929
Trung Nguyên,6,Canh,Ngọ,Canh Ngọ,Lộ Bàng Thổ,1930
Trung Nguyên,7,Tân,Mùi,Tân Mùi,Lộ Bàng Thổ,1931
Trung Nguyên,8,Nhâm,Thân,Nhâm Thân,Kiếm Phong Kim,1932
Trung Nguyên,9,Quý,Dậu,Quý Dậu,Kiếm Phong Kim,1933
Trung Nguyên,10,Giáp,Tuất,Giáp Tuất,Sơn Đầu Hỏa,1934
Trung Nguyên,11,Ất,Hợi,Ất Hợi,Sơn Đầu Hỏa,1935
Trung Nguyên,12,Bính,Tý,Bính Tý,Giản Hạ Thủy,1936
Trung Nguyên,13,Đinh,Sửu,Đinh Sửu,Giản Hạ Thủy,1937
Trung Nguyên,14,Mậu,Dần,Mậu Dần,Thành Đầu Thổ,1938
Trung Nguyên,15,Kỷ,Mão,Kỷ Mão,Thành Đầu Thổ,1939
Trung Nguyên,16,Canh,Thìn,Canh Thìn,Bạch Lạp Kim,1940
Trung Nguyên,17,Tân,Tỵ,Tân Tỵ,Bạch Lạp Kim,1941
Trung Nguyên,18,Nhâm,Ngọ,Nhâm Ngọ,Dương Liễu Mộc,1942
Trung Nguyên,19,Quý,Mùi,Quý Mùi,Dương Liễu Mộc,1943
Trung Nguyên,20,Giáp,Thân,Giáp Thân,Tuyền Trung Thủy,1944
Trung Nguyên,21,Ất,Dậu,Ất Dậu,Tuyền Trung Thủy,1945
Trung Nguyên,22,Bính,Tuất,Bính Tuất,Ốc Thượng Thổ,1946
Trung Nguyên,23,Đinh,Hợi,Đinh Hợi,Ốc Thượng Thổ,1947
Trung Nguyên,24,Mậu,Tý,Mậu Tý,Tích Lịch Hỏa,1948
Trung Nguyên,25,Kỷ,Sửu,Kỷ Sửu,Tích Lịch Hỏa,1949
Trung Nguyên,26,Canh,Dần,Canh Dần,Tùng Bách Mộc,1950
Trung Nguyên,27,Tân,Mão,Tân Mão,Tùng Bách Mộc,1951
Trung Nguyên,28,Nhâm,Thìn,Nhâm Thìn,Trường Lưu Thủy,1952
Trung Nguyên,29,Quý,Tỵ,Quý Tỵ,Trường Lưu Thủy,1953
Trung Nguyên,30,Giáp,Ngọ,Giáp Ngọ,Sa Trung Kim,1954
Trung Nguyên,31,Ất,Mùi,Ất Mùi,S a Trung Kim,1955
Trung Nguyên,32,Bính,Thân,Bính Thân,Sơn Hạ Hỏa,1956
Trung Nguyên,33,Đinh,Dậu,Đinh Dậu,Sơn Hạ Hỏa,1957
Trung Nguyên,34,Mậu,Tuất,Mậu Tuất,Bình Địa Mộc,1958
Trung Nguyên,35,Kỷ,Hợi,Kỷ Hợi,Bình Địa Mộc,1959
Trung Nguyên,36,Canh,Tý,Canh Tý,Bích Thượng Thổ,1960
Trung Nguyên,37,Tân,Sửu,Tân Sửu,Bích Thượng Thổ,1961
Trung Nguyên,38,Nhâm,Dần,Nhâm Dần,Kim Bạch Kim,1962
Trung Nguyên,39,Quý,Mão,Quý Mão,Kim Bạch Kim,1963
Trung Nguyên,40,Giáp,Thìn,Giáp Thìn,Phú Đăng Hỏa,1964
Trung Nguyên,41,Ất,Tỵ,Ất Tỵ,Phú Đăng Hỏa,1965
Trung Nguyên,42,Bính,Ngọ,Bính Ngọ,Thiên Hà Thủy,1966
Trung Nguyên,43,Đinh,Mùi,Đinh Mùi,Thiên Hà Thủy,1967
Trung Nguyên,44,Mậu,Thân,Mậu Thân,Đại Dịch Thổ,1968
Trung Nguyên,45,Kỷ,Dậu,Kỷ Dậu,Đại Dịch Thổ,1969
Trung Nguyên,46,Canh,Tuất,Canh Tuất,Thoa Xuyến Kim,1970
