term_index,code,term_name,month,day,is_major,longitude
0,LC,Lập Xuân,2,4,1,315
1,VT,Vũ Thủy,2,19,0,330
2,KT,Kinh Trập,3,6,1,345
3,XP,Xuân Phân,3,21,0,0
4,TM,Thanh Minh,4,5,1,15
5,CV,Cốc Vũ,4,20,0,30
6,LH,Lập Hạ,5,5,1,45
7,TMN,Tiểu Mãn,5,21,0,60
8,MC,Mang Chủng,6,6,1,75
9,HC,Hạ Chí,6,21,0,90
10,TT,Tiểu Thử,7,7,1,105
11,DT,Đại Thử,7,23,0,120
12,LT,Lập Thu,8,7,1,135
13,XT,Xử Thử,8,23,0,150
14,BL,Bạch Lộ,9,7,1,165
15,TP,Thu Phân,9,23,0,180
16,HL,Hàn Lộ,10,8,1,195
17,SG,Sương Giáng,10,23,0,210
18,LD,Lập Đông,11,7,1,225
19,TTY,Tiểu Tuyết,11,22,0,240
20,DTY,Đại Tuyết,12,7,1,255
21,DC,Đông Chí,12,22,0,270
22,TH,Tiểu Hàn,1,6,1,285
23,DH,Đại Hàn,1,20,0,300
