ganzhi,ha_nguyen_cung,cung_element,trach_group
Giáp Tý,Đoài,Kim,tay
Ất Sửu,Càn,Kim,tay
Bính Dần,Khôn,Thổ,tay
Đinh Mão,Tốn,Mộc,dong
Mậu Thìn,Chấn,Mộc,dong
Kỷ Tỵ,Khôn,Thổ,tay
Canh Ngọ,Khảm,Thủy,dong
Tân Mùi,Ly,Hỏa,dong
Nhâm Thân,Cấn,Thổ,tay
Quý Dậu,Đoài,Kim,tay
Giáp Tuất,Càn,Kim,tay
Ất Hợi,Khôn,Thổ,tay
Bính Tý,Tốn,Mộc,dong
Đinh Sửu,Chấn,Mộc,dong
Mậu Dần,Khôn,Thổ,tay
Kỷ Mão,Khảm,Thủy,dong
Canh Thìn,Ly,Hỏa,dong
Tân Tỵ,Cấn,Thổ,tay
Nhâm Ngọ,Đoài,Kim,tay
Quý Mùi,Càn,Kim,tay
Giáp Thân,Khôn,Thổ,tay
Ất Dậu,Tốn,Mộc,dong
Bính Tuất,Chấn,Mộc,dong
Đinh Hợi,Khôn,Thổ,tay
Mậu Tý,Khảm,Thủy,dong
Kỷ Sửu,Ly,Hỏa,dong
Canh Dần,Cấn,Thổ,tay
Tân Mão,Đoài,Kim,tay
Nhâm Thìn,Càn,Kim,tay
Quý Tỵ,Khôn,Thổ,tay
Giáp Ngọ,Tốn,Mộc,dong
Ất Mùi,Chấn,Mộc,dong
Bính Thân,Khôn,Thổ,tay
Đinh Dậu,Khảm,Thủy,dong
Mậu Tuất,Ly,Hỏa,dong
Kỷ Hợi,Cấn,Thổ,tay
Canh Tý,Đoài,Kim,tay
Tân Sửu,Càn,Kim,tay
Nhâm Dần,Khôn,Thổ,tay
Quý Mão,Tốn,Mộc,dong
Giáp Thìn,Chấn,Mộc,dong
Ất Tỵ,Khôn,Thổ,tay
Bính Ngọ,Khảm,Thủy,dong
Đinh Mùi,Ly,Hỏa,dong
Mậu Thân,Cấn,Thổ,tay
Kỷ Dậu,Đoài,Kim,tay
Canh Tuất,Càn,Kim,tay
Tân Hợi,Khôn,Thổ,tay
Nhâm Tý,Tốn,Mộc,dong
Quý Sửu,Chấn,Mộc,dong
Giáp Dần,Khôn,Thổ,tay
Ất Mão,Khảm,Thủy,dong
Bính Thìn,Ly,Hỏa,dong
Đinh Tỵ,Cấn,Thổ,tay
Mậu Ngọ,Đoài,Kim,tay
Kỷ Mùi,Càn,Kim,tay
Canh Thân,Khôn,Thổ,tay
Tân Dậu,Tốn,Mộc,dong
Nhâm Tuất,Chấn,Mộc,dong
Quý Hợi,Khôn,Thổ,tay
