ganzhi,nap_am,ngu_hanh,cung_nam,cung_nu,cung_ngay,reference_year
Giáp Tý,Hải Trung Kim,Kim,Tốn,Khôn,,1924
Ất Sửu,Hải Trung Kim,Kim,Chấn,Chấn,,1925
Bính Dần,Lư Trung Hỏa,Hỏa,Khôn,Tốn,,1926
Đinh Mão,Lư Trung Hỏa,Hỏa,Khảm,Cấn,,1927
Mậu Thìn,Đại Lâm Mộc,Mộc,Ly,Càn,,1928
Kỷ Tỵ,Đại Lâm Mộc,Mộc,Cấn,Đoài,,1929
Canh Ngọ,Lộ Bàng Thổ,Thổ,Đoài,Cấn,,1930
Tân Mùi,Lộ Bàng Thổ,Thổ,Càn,Ly,,1931
Nhâm Thân,Kiếm Phong Kim,Kim,Khôn,Khảm,,1932
Quý Dậu,Kiếm Phong Kim,Kim,Tốn,Khôn,,1933
Giáp Tuất,Sơn Đầu Hỏa,Hỏa,Chấn,Chấn,,1934
Ất Hợi,Sơn Đầu Hỏa,Hỏa,Khôn,Tốn,,1935
Bính Tý,Giản Hạ Thủy,Thủy,Khảm,Cấn,,1936
Đinh Sửu,Giản Hạ Thủy,Thủy,Ly,Càn,,1937
Mậu Dần,Thành Đầu Thổ,Thổ,Cấn,Đoài,,1938
Kỷ Mão,Thành Đầu Thổ,Thổ,Đoài,Cấn,,1939
Canh Thìn,Bạch Lạp Kim,Kim,Càn,Ly,,1940
Tân Tỵ,Bạch Lạp Kim,Kim,Khôn,Khảm,,1941
Nhâm Ngọ,Dương Liễu Mộc,Mộc,Tốn,Khôn,,1942
Quý Mùi,Dương Liễu Mộc,Mộc,Chấn,Chấn,,1943
Giáp Thân,Tuyền Trung Thủy,Thủy,Khôn,Tốn,,1944
Ất Dậu,Tuyền Trung Thủy,Thủy,Khảm,Cấn,,1945
Bính Tuất,Ốc Thượng Thổ,Thổ,Ly,Càn,,1946
Đinh Hợi,Ốc Thượng Thổ,Thổ,Cấn,Đoài,,1947
Mậu Tý,Tích Lịch Hỏa,Hỏa,Đoài,Cấn,,1948
Kỷ Sửu,Tích Lịch Hỏa,Hỏa,Càn,Ly,,1949
Canh Dần,Tùng Bách Mộc,Mộc,Khôn,Khảm,,1950
Tân Mão,Tùng Bách Mộc,Mộc,Tốn,Khôn,,1951
Nhâm Thìn,Trường Lưu Thủy,Thủy,Chấn,Chấn,,1952
Quý Tỵ,Trường Lưu Thủy,Thủy,Khôn,Tốn,,1953
Giáp Ngọ,Sa Trung Kim,Kim,Khảm,Cấn,,1954
Ất Mùi,Sa Trung Kim,Kim,Ly,Càn,,1955
Bính Thân,Sơn Hạ Hỏa,Hỏa,Cấn,Đoài,,1956
Đinh Dậu,Sơn Hạ Hỏa,Hỏa,Đoài,Cấn,,1957
Mậu Tuất,Bình Địa Mộc,Mộc,Càn,Ly,,1958
Kỷ Hợi,Bình Địa Mộc,Mộc,Khôn,Khảm,,1959
Canh Tý,Bích Thượng Thổ,Thổ,Tốn,Khôn,,1960
Tân Sửu,Bích Thượng Thổ,Thổ,Chấn,Chấn,,1961
Nhâm Dần,Kim Bạch Kim,Kim,Khôn,Tốn,,1962
Quý Mão,Kim Bạch Kim,Kim,Khảm,Cấn,,1963
Giáp Thìn,Phú Đăng Hỏa,Hỏa,Ly,Càn,,1964
Ất Tỵ,Phú Đăng Hỏa,Hỏa,Cấn,Đoài,,1965
Bính Ngọ,Thiên Hà Thủy,Thủy,Đoài,Cấn,,1966
Đinh Mùi,Thiên Hà Thủy,Thủy,Càn,Ly,,1967
Mậu Thân,Đại Trạch Thổ,Thổ,Khôn,Khảm,,1968
Kỷ Dậu,Đại Trạch Thổ,Thổ,Tốn,Khôn,,1969
Canh Tuất,Thoa Xuyến Kim,Kim,Chấn,Chấn,,1970
Tân Hợi,Thoa Xuyến Kim,Kim,Khôn,Tốn,,1971
Nhâm Tý,Tang Đố Mộc,Mộc,Khảm,Cấn,,1972
Quý Sửu,Tang Đố Mộc,Mộc,Ly,Càn,,1973
Giáp Dần,Đại Khê Thủy,Thủy,Cấn,Đoài,,1974
Ất Mão,Đại Khê Thủy,Thủy,Đoài,Cấn,,1975
Bính Thìn,Sa Trung Thổ,Thổ,Càn,Ly,,1976
Đinh Tỵ,Sa Trung Thổ,Thổ,Khôn,Khảm,,1977
Mậu Ngọ,Thiên Thượng Hỏa,Hỏa,Tốn,Khôn,,1978
Kỷ Mùi,Thiên Thượng Hỏa,Hỏa,Chấn,Chấn,,1979
Canh Thân,Thạch Lựu Mộc,Mộc,Khôn,Tốn,,1980
Tân Dậu,Thạch Lựu Mộc,Mộc,Khảm,Cấn,,1981
Nhâm Tuất,Đại Hải Thủy,Thủy,Ly,Càn,,1982
Quý Hợi,Đại Hải Thủy,Thủy,Cấn,Đoài,,1983
